	kor	eng
2555	프랑스어로 자기소개를 하는 것은 내게 어려운 일이다.	It's difficult for me to express myself in French.
2556	톰이 얼마나 심하게 맞았니?	How badly was Tom beaten?
2557	너는 아르바이트를 해요?	Do you work part-time?
2558	너는 아르바이트를 해요?	Do you have a part-time job?
2559	경찰에 신고는 하셨습니까?	Have you reported it to the police?
2560	취미가 뭡니까?	What is your hobby?
2561	모든 결정은 제가 했습니다.	I made every decision.
2562	지금 뭐하는 건데요?	What are you doing right now?
2563	내주 금요일 오전 내내 시간이 있습니다.	I will be free all morning next Friday.
2564	그 여자아이는 버스 안에서 노부인에게 자리를 내주었다.	The girl gave her seat to an old woman in the bus.
2565	이미 그녀에게 당신의 번호를 전했어요.	I already gave her your number.
2566	톰은 운전면허 시험에 떨어질 듯 하다.	Tom isn't likely to pass the driving test.
2567	우리는 대학생입니다.	We're university students.
2568	이 슈트는 방화복입니다.	This suit is fire-resistant.
2569	서류를 읽기 전에는 사인하지 마세요	Don't sign the document until you've read it.
2570	민주주의가 없는 곳에 신뢰는 없다.	There is no trust where there is no democracy.
2571	신뢰가 없이는 민주주의가 존재할 수 없다.	Democracy can't exist without trust.
2572	돌아올 때 슈퍼마켓에서 계란 사 와.	Buy eggs at the store on your way home.
2573	마지막 경고다!	This is your last warning!
2574	요즘 자동차들은 70년대의 자동차들과는 다르다.	Cars built nowadays are different from the ones built in the 70's.
2575	아직 10 분 안 됬어요.	It hasn' been 10 minutes yet.
2576	나는 바나나를 별로 좋아하지 않아요.	I don't like bananas that much.
2577	우리집은 깨끗해요.	Our house is clean.
2578	제가 많이 일찍 왔어요.	I came very early.
2579	너무 어두워서 잘 볼 수 없다.	It's too dark so I can't see very well.
2580	전부가 맛있어요!	Everything tastes good!
2581	오늘 오후는 한가합니다.	I'm free all afternoon today.
2582	그는 의사예요.	He's a doctor.
2583	나는 네가 프랑스어를 가르쳤는지 몰랐어	I didn't know that you used to teach French.
2584	리비아는 북아프리카에서 두번째로 큰 국가이다.	Libya is the second largest country in North Africa.
2585	인간은 아프리카에서 기원했다.	Humans originated in Africa.
2586	하마는 아프리카에 산다.	Hippos live in Africa.
2587	그는 아프리카에서 태어났다.	He was born in Africa.
2588	아프리카는 가장 가난한 대륙이다.	Africa is the poorest continent.
2589	튀니지는 아프리카에 있다.	Tunisia is located in Africa.
2590	그는 울기만 했다.	He did nothing but cry.
2591	먹을래요.	I want to eat it.
2592	먹을래요.	I will eat it.
2593	마셨어요.	I drank it.
2594	일을 구해!	Find a job!
2595	뭐 먹고 싶어?	What do you want to eat?
2596	조선왕조의 당쟁사가 문화적으로 외국 독자에게 이해되게 하기는 어려운 과제이다.	It is a difficult task to make the history of political power struggles during the Joseon Dynasty culturally understandable to foreign readers.
2597	"지난 번에 말했던 것처럼	 수요일은 베를린 장벽이 무너진 지 22년 되는 날이었어요."	"As I said the last time	 Wednesday was the 22nd anniversary of the fall of the Berlin Wall."
2598	"덕으로 나라를 다스리면	 백성들이 편안히 잘살 수 있다고 했습니다."	It is said that people can live comfortably if the nation is ruled with virtue.
2599	무대에서 쓰러지는 한이 있더라도 공연을 취소할 수는 없습니다.	There is no way to cancel a show even if I collapse on stage.
2600	명확하고 적절한 표현을 사용하여 해당 외국어로 번역하시오.	Translate into the foreign language using clear and appropriate words.
2601	작은 시골마을이나 섬에는 전쟁 중에도 조용할 수도 있어요.	Small rural villages or islands could be peaceful even in wartime.
2602	그리스인들은 기원전 7세기에 이탈리아 반도를 발견했다.	The Greeks discovered the Italian peninsula in the 7th century BCE.
2603	누가 거기에 갈지 나보고 결정하게 하다니 너 참 잔인하구나.	You are so cruel to make me decide who should go there.
2604	내 눈에 흙이 들어가기 전까지는 그런 꼴 못 보오이다!	Over my dead body shall I witness such a shameful sight.
2605	단체 사진을 찍읍시다.	Let's get a group photo.
2606	딸기가 있는데 너 먹고 싶니?	I have some strawberries. Do you want some?
2607	친구와 같이 텔레비전에서 축구시합을 봅니다.	I watch a football match on television with my friend.
2608	둘이 어떻게 된건데?	What happened between the two?
2609	홍합은 연체 동물입니까?	Are mussels molluscs?
2610	저는 안경이 없으면 아무 것도 못 봐요.	I can't see anything without glasses.
2611	풍경은 아름답고 마음은 평화롭습니다.	The scenery is beautiful and my mind is peaceful.
2612	지금부터 제 얘기 잘 들으세요.	"Now	 listen carefully to what I am saying."
2613	혼자 살거야.	I'm going to live alone.
2614	"아	 신기합니다."	"Oh	 that's fascinating."
2615	너 어디 가고 싶니?	Where do you want to go?
2616	한 바퀴 돌래?	Do you want to take a lap?
2617	너 산책하고 싶니?	Do you want to go on a walk?
2618	너 나랑 지금 춤출래?	Will you dance with me right now?
2619	산책하고 싶어?	Do you want to take a walk?
2620	나는 작년에는 별로 한 일이 없다.	I didn't do much last year.
2621	이것은 사전이다.	It's a dictionary.
2622	그건 내 사전이야.	That's my dictionary.
2623	이건 누구 사전입니까?	Whose dictionary is this?
2624	이것은 내 사전이다.	This is my dictionary.
2625	이 사전은 비싸다.	This dictionary is expensive.
2626	이 사전이면 될까요?	Will this dictionary do?
2627	그는 사전을 사용했다.	He used the dictionary.
2628	나에게 사전이 있다.	I have a dictionary.
2629	이것은 당신의 사전입니까?	Is this your dictionary?
2630	이 사전은 내 것이다.	This dictionary is mine.
2631	나는 유죄 판결을 받았다.	I was convicted.
2632	그 어떤 것도 그의 신념을 꺾을 수 없었다.	Nothing could sway his conviction.
2633	호랑이도 제 말을 하면 온다.	Talk of the devil and he'll appear.
2634	힘이 정의다.	Might is right.
2635	모든 일에는 끝이 있다.	All good things come to an end.
2636	지금처럼 좋은 때는 없다.	There is no time like the present.
2637	요리사가 너무 많으면 국물을 버린다.	Too many cooks spoil the broth.
2638	사공이 많으면 배가 거꾸로 간다.	Too many cooks spoil the broth.
2639	돈을 사랑하는 마음이 모든 악의 근원이다.	Love of money is the root of all evil.
2640	놀고 싶어요.	I want to play.
2641	놀고 싶다.	I want to play.
2642	쉬고 싶어요.	I want to rest.
2643	쉬고 싶다.	I want to rest.
2644	일하고 싶어요.	I want to work.
2645	"대답하기에 너무 긴장되어서	 그는 바닥을 응시했다."	"Being too nervous to reply	 he stared at the floor."
2646	나는 내가 들은 걸 너에게 말해주는 것뿐이다.	I'm just telling you what I heard.
2647	"이것들 네 것이지	 맞지?"	"These are yours	 right?"
2648	나는 추운 날씨를 싫어한다.	I dislike cold weather.
2649	"그것이 무엇이었는지는 확신할 수는 없지만	 그것은 총소리처럼 들렸다."	"I'm not sure what it was	 but it sounded like a gunshot."
2650	톰은 메리가 그에게 준 와인 한 병에 대하여 메리에게 감사함을 표시했다.	Tom thanked Mary for the bottle of wine she gave him.
2651	너희 둘 무엇에 관하여 논쟁하고 있니?	What are you two arguing about?
2652	톰이 도와주리라는 것을 어떻게 알았니?	How did you know Tom would help?
2653	나는 톰이 무엇을 할 필요가 있는지 알고 있다.	I know what Tom needs to do.
2654	냉장고에 있는 거 아무거나 편하게 마음껏 드세요.	Please feel free to help yourself to anything in the fridge.
2655	나는 체계적이지 못하다.	I'm disorganized.
2656	톰은 침대에서 기절했다.	Tom is passed out in bed.
2657	내 (여행용) 가방 어디에 두었니?	Where did you put my suitcase?
2658	공중전화를 왜 사용하지 않았니?	Why didn't you use a pay phone?
2659	톰은 메리가 이기지 못하리라는 것을 알았다고 말했다.	Tom said he knew that Mary wouldn't win.
2660	목초지에 양이 많이 있다.	There are a lot of sheep in the pasture.
2661	꽃 물주기를 끝냈다.	I'm done watering the flowers.
2662	이제 가도 되나요?	Can I go now?
2663	나는 답장을 기다리고 있다.	I'm waiting for a reply.
2664	나 빼고 여기에 있는 사람 모두 그것을 했다. (한 적이 있다.)	Everybody here except me has done that.
2665	톰은 메리를 도우려고 애써왔다.	Tom has been trying to help Mary.
2666	톰은 여전히 실업 상태일 것이다.	I think Tom is still unemployed.
2667	네가 그것을 했다는 것을 이미 알고 있다.	I already know you did that.
2668	아잉 몰라요.	"Oh	 I don't know."
2669	그렇게 이상해?	Is it strange?
2670	커피를 마시고싶어요.	I want to drink a coffee.
2671	차 좋아해요?	Do you like tea?
2672	아무도 내 말을 지지해주지 않았다.	Nobody backed up what I said.
2673	정말 안 좋은가보네요.	It must be really bad.
2674	우리 집을 제외하고는 우리 집이 있는 거리의 모든 집들이 모두 파란색이다.	Every house on our street was blue except ours.
2675	"와	 너 멋지다!"	Wow. Look at you!
2676	지금 바빠?	Are you busy now?
2677	네가 결정한 걸 알려줘 봐.	Let us know what you decide.
2678	너 공부 열심히 해야 해.	You must study hard.
2679	전에 만났던 것 기억해요.	I remember seeing you before.
2680	이 뉴스는 우리에게 중요하다.	This news is important to us.
2681	도와 주셔서 아주 고맙습니다.	I really appreciate all your help.
2682	네 계획은 전혀 쓸모가 없어.	Your plan is of no earthly use.
2683	내가 말하고자 하는 바는 이거야.	What I mean is this.
2684	의미를 정확하게 전달하는 것은 어렵다.	It is difficult to convey the meaning exactly.
2685	에볼라는 체액을 통하여 사람에서 사람으로 전파된다.	Ebola spreads from person to person through bodily fluids.
2686	그 규칙들은 학생들간에 불평을 야기한다.	Those rules foster discontent among students.
2687	그는 상자 여섯 개를 한 번에 날랐다.	He carried six boxes at a time.
2688	"시 정부는 특별한 자전거 도로를 설치하려고 하나	 많은 운전자들은 그 구상에 반대한다."	"The city government wants to set up special cycle lanes. However	 a lot of drivers oppose the idea."
2689	우리는 인접 국가들과의 교역을 촉진하여야 합니다.	We must promote commerce with neighboring countries.
2690	이 기숙사에는 미국인 학생 두 명이 살고 있다.	Two American students live in this dorm.
2691	이 병은 온수 2리터를 담을 수 있다.	This bottle is able to contain two liters of hot water.
2692	그는 타인의 기분은 전혀 존중하지 않는다.	He has absolutely no respect for other people's feelings.
2693	예약하셨나요?	Do you have a reservation?
2694	두 명 자리를 예약하고 싶어요.	I'd like to reserve a table for two.
2695	음식을 좀 남겨 놓아야 해요.	We should hold some of food in reserve.
2696	너한테 모든 걸 좀 더 빨리 얘기했어야 했는데.	I should've told you everything earlier.
2697	네 생일 선물로 펜 하나를 샀어.	I bought a pen for your birthday present.
2698	잠깐 실례합니다.	Excuse me a minute.
2699	우리 몸 속에는 칼륨이 들어 있다.	We have potassium in our bodies.
2700	작년 여름에 몇 번이나 수영을 하러 갔었습니까?	How often did you go swimming last summer?
2701	톰은 이것에 익숙하다.	Tom is just getting used to this.
2702	그것이 그렇게 쉽지는 않아.	It's just not that easy.
2703	회의는 잘 진행되었어요.	The meeting went pretty well.
2704	네가 생각한 바에 난 개의치 않는다.	I don't care what you thought.
2705	사직할 것을 생각해 본 적이 있나요?	Have you ever thought about quitting your job?
2706	나는 포기하지 않을 것이다.	I'm not going to give up.
2707	졸업 후에 무엇을 할래?	What'll you do after graduation?
2708	새미는 축구 선수였습니다.	Sami was a football player.
2709	얼마에요?	How much?
2710	안녕!	Goodbye!
2711	썩 좋은 브랜디는 아니다.	This isn't a very good brandy.
2712	시험을 더 잘 봤어야 했는데.	I should've done better on the test.
2713	여기 음식이 나한테 좀 많이 매운 것 같아.	I find the food here to be a little too spicy for me.
